"","Cong","X","X.1","X.2","State","X.3","Name","Dim1","Dim2","X.4","X.5","X.6","X0.714"
"5753",81,9303,53,0,"OKLAHOM",100,"THOMAS  J.W",0.0222,0.4151,-116.09941,333,55,0.82
"5754",81,5213,53,0,"OKLAHOM",100,"KERR",-0.0703,0.5951,-80.011,404,35,0.652
"5755",81,96738,72,0,"OREGON",200,"MORSE",-0.216,-0.806,-178.03244,416,99,0.628
"5756",81,2066,72,0,"OREGON",200,"CORDON",0.2238,0.0221,-196.01859,422,102,0.807
"5757",81,6021,14,0,"PENNSYL",200,"MARTIN",0.3141,-0.3962,-82.21517,384,33,0.88
"5758",81,6836,14,0,"PENNSYL",100,"MYERS",-0.2696,-0.1603,-52.36905,411,20,0.838
"5759",81,3783,5,0,"RHODE I",100,"GREEN",-0.1979,-0.1194,-73.90332,419,27,0.906
"5760",81,6260,5,0,"RHODE I",100,"MCGRATH",-0.2582,-0.061,-14.98692,152,8,0.87
"5761",81,5539,5,0,"RHODE I",100,"LEAHY",-0.4125,-0.1258,-34.54637,249,17,0.748
"5762",81,5009,48,0,"SOUTH C",100,"JOHNSTON",0.0209,0.9927,-117.17513,404,60,0.801
"5763",81,6107,48,0,"SOUTH C",100,"MAYBANK",0.0553,0.775,-87.84997,397,36,0.678
"5764",81,6796,37,0,"SOUTH D",200,"MUNDT",0.2567,0.0504,-166.49048,429,79,0.61
"5765",81,3882,37,0,"SOUTH D",200,"GURNEY",0.2296,-0.0864,-201.2392,407,108,0.83
"5766",81,5122,54,0,"TENNESS",100,"KEFAUVER",-0.2413,0.1496,-69.14205,372,29,0.69
"5767",81,6293,54,0,"TENNESS",100,"MCKELLAR",0.0808,0.1861,-158.42358,427,71,0.774
"5768",81,4979,49,0,"TEXAS",100,"JOHNSON  L.",-0.0068,0.4652,-104.40984,408,53,0.767
"5769",81,1986,49,0,"TEXAS",100,"CONNALLY",0.0633,0.4841,-109.13812,411,42,0.701
"5770",81,9865,67,0,"UTAH",200,"WATKINS",0.2585,-0.0979,-152.25142,429,66,0.759
"5771",81,9291,67,0,"UTAH",100,"THOMAS  E.D",-0.1648,0.065,-110.51863,401,44,0.721
"5772",81,3206,6,0,"VERMONT",200,"FLANDERS",0.0302,-0.7802,-119.54943,366,56,0.644
"5773",81,52,6,0,"VERMONT",200,"AIKEN",0.0307,-0.3802,-177.13857,403,95,0.592
"5774",81,7958,40,0,"VIRGINI",100,"ROBERTSON",0.1536,0.3677,-219.83347,420,108,0.596
"5775",81,1365,40,0,"VIRGINI",100,"BYRD",0.2358,0.3913,-185.23372,358,100,0.741
"5776",81,1395,73,0,"WASHING",200,"CAIN",0.306,-0.082,-117.9229,394,54,0.777
"5777",81,5913,73,0,"WASHING",100,"MAGNUSON",-0.2574,0.0662,-108.52073,431,41,0.817
"5778",81,5240,56,0,"WEST VI",100,"KILGORE",-0.3181,-0.0315,-89.03603,440,41,0.857
"5779",81,6856,56,0,"WEST VI",100,"NEELY",-0.2388,0.0471,-66.19109,430,25,0.636
"5780",81,6137,25,0,"WISCONS",200,"MCCARTHY",0.2402,-0.1757,-170.011,376,80,0.663
"5781",81,10110,25,0,"WISCONS",200,"WILEY",0.1452,-0.4093,-152.27089,371,78,0.79
"5782",81,7070,68,0,"WYOMING",100,"O'MAHONEY",-0.0981,0.0682,-97.93954,416,43,0.76
"5783",81,4747,68,0,"WYOMING",100,"HUNT",-0.063,0.1195,-99.71383,364,41,0.851
"5784",82,8764,41,0,"ALABAMA",100,"SPARKMAN",-0.1674,0.7135,-42.05496,261,19,0.852
"5785",82,4418,41,0,"ALABAMA",100,"HILL  L.",-0.163,0.7236,-47.55946,298,18,0.743
"5786",82,4227,61,0,"ARIZONA",100,"HAYDEN",-0.0987,0.1756,-86.64467,292,33,0.801
"5787",82,6242,61,0,"ARIZONA",100,"MCFARLAND",-0.079,0.5278,-66.38431,299,28,0.727
"5788",82,3388,42,0,"ARKANSA",100,"FULBRIGHT",-0.1521,0.6546,-80.68518,253,32,0.729
"5789",82,6151,42,0,"ARKANSA",100,"MCCLELLAN",0.1745,0.6659,-86.73357,274,37,0.712
"5790",82,6939,71,0,"CALIFOR",200,"NIXON",0.125,-0.477,-93.79077,276,48,0.682
"5791",82,5343,71,0,"CALIFOR",200,"KNOWLAND",0.1646,-0.3744,-98.44489,257,54,0.744
"5792",82,6525,62,0,"COLORAD",200,"MILLIKEN",0.2396,-0.2125,-81.64773,276,36,0.646
"5793",82,4949,62,0,"COLORAD",100,"JOHNSON  E.",0.1139,0.3636,-116.56438,267,49,0.824
"5794",82,659,1,0,"CONNECT",100,"BENTON",-0.488,-0.654,-48.53318,251,23,0.815
"5795",82,6346,1,0,"CONNECT",100,"MCMAHON",-0.2443,-0.4642,-44.79734,219,23,0.558
"5796",82,3349,11,0,"DELAWAR",100,"FREAR",0.1051,0.2833,-168.66765,289,86,0.703
"5797",82,10163,11,0,"DELAWAR",200,"WILLIAMS  J",0.3795,-0.1895,-103.34989,293,41,0.677
"5798",82,8593,43,0,"FLORIDA",100,"SMATHERS",0.0521,0.3854,-93.23386,239,41,0.696
"5799",82,4520,43,0,"FLORIDA",100,"HOLLAND",0.0999,0.3677,-109.28858,302,52,0.707
"5800",82,3536,44,0,"GEORGIA",100,"GEORGE",0.1343,0.3617,-91.19714,263,39,0.721
"5801",82,8138,44,0,"GEORGIA",100,"RUSSELL",0.1401,0.7147,-69.0878,211,32,0.824
"5802",82,9930,63,0,"IDAHO",200,"WELKER",0.4674,0.1687,-52.37751,270,23,0.803
"5803",82,2803,63,0,"IDAHO",200,"DWORSHAK",0.3654,0.0109,-65.73197,299,25,0.698
"5804",82,2691,21,0,"ILLINOI",100,"DOUGLAS",-0.3615,-0.9254,-104.10603,289,46,0.829
"5805",82,2609,21,0,"ILLINOI",200,"DIRKSEN",0.4015,-0.7101,-48.52903,258,18,0.807
"5806",82,4922,22,0,"INDIANA",200,"JENNER",0.4553,-0.0062,-49.74239,232,24,0.744
"5807",82,1489,22,0,"INDIANA",200,"CAPEHART",0.3157,-0.2233,-78.4085,265,39,0.789
"5808",82,4382,31,0,"IOWA",200,"HICKENLOOPE",0.2981,-0.281,-61.33814,259,17,0.583
"5809",82,3603,31,0,"IOWA",100,"GILLETTE",0.0243,0.1209,-128.95413,239,63,0.747
"5810",82,8270,32,0,"KANSAS",200,"SCHOEPPEL",0.3257,-0.0218,-85.94867,295,42,0.699
"5811",82,1510,32,0,"KANSAS",200,"CARLSON",0.2265,-0.2916,-80.14983,224,39,0.81
"5812",82,1831,51,0,"KENTUCK",100,"CLEMENTS",-0.114,0.3647,-58.82663,279,29,0.769
"5813",82,9561,51,0,"KENTUCK",100,"UNDERWOOD",-0.0755,0.4378,-67.73997,258,29,0.606
"5814",82,5767,45,0,"LOUISIA",100,"LONG  R.",-0.1464,0.8352,-144.52554,289,67,0.717
"5815",82,2901,45,0,"LOUISIA",100,"ELLENDER",0.0317,0.7994,-95.63401,288,47,0.64
"5816",82,8666,2,0,"MAINE",200,"SMITH  M.",0.0777,-0.4054,-133.18335,298,70,0.766
"5817",82,1021,2,0,"MAINE",200,"BREWSTER",0.2878,-0.4856,-63.55323,238,30,0.791
"5818",82,1341,52,0,"MARYLAN",200,"BUTLER  J.",0.2793,-0.2869,-65.12129,278,23,0.593
"5819",82,7020,52,0,"MARYLAN",100,"O'CONOR",0.0137,-0.0783,-130.68909,250,75,0.703
"5820",82,8185,3,0,"MASSACH",200,"SALTONSTALL",0.1138,-0.433,-99.69749,283,43,0.706
"5821",82,5739,3,0,"MASSACH",200,"LODGE",-0.0747,-0.9903,-100.26054,288,46,0.781
"5822",82,3110,23,0,"MICHIGA",200,"FERGUSON",0.2507,-0.7825,-71.88205,291,31,0.799
"5823",82,6613,23,0,"MICHIGA",100,"MOODY",-0.3881,-0.8763,-56.64239,252,25,0.869
"5824",82,4728,33,0,"MINNESO",100,"HUMPHREY",-0.3862,-0.0866,-38.7231,275,16,0.662
"5825",82,9374,33,0,"MINNESO",200,"THYE",0.1088,-0.3551,-115.50176,280,61,0.748
"5826",82,8883,46,0,"MISSISS",100,"STENNIS",0.0928,0.8735,-85.49146,294,36,0.69
"5827",82,2822,46,0,"MISSISS",100,"EASTLAND",0.1676,0.7633,-92.67472,250,46,0.733
"5828",82,5158,34,0,"MISSOUR",200,"KEM",0.3906,-0.0402,-80.38235,259,35,0.81
"5829",82,4328,34,0,"MISSOUR",100,"HENNINGS",-0.2245,0.0305,-61.87658,293,30,0.649
"5830",82,2838,64,0,"MONTANA",200,"ECTON",0.4002,0.2451,-101.23001,234,49,0.798
"5831",82,6820,64,0,"MONTANA",100,"MURRAY",-0.245,0.1549,-52.69856,234,23,0.817
"5832",82,1338,35,0,"NEBRASK",200,"BUTLER",0.4195,0.0098,-48.57429,241,20,0.843
"5833",82,9998,35,0,"NEBRASK",200,"WHERRY",0.48,0.1125,-24.47322,143,9,0.717
"5834",82,8337,35,0,"NEBRASK",200,"SEATON",0.038,-0.488,-21.95301,66,9,0.679
"5835",82,5944,65,0,"NEVADA",200,"MALONE",0.331,0.2318,-89.90433,232,47,0.651
"5836",82,6132,65,0,"NEVADA",100,"MCCARRAN",0.1573,0.5272,-99.46616,232,42,0.689
"5837",82,9401,4,0,"NEW HAM",200,"TOBEY",-0.1191,-0.7828,-73.06479,196,31,0.758
"5838",82,1027,4,0,"NEW HAM",200,"BRIDGES",0.2949,-0.4128,-68.75114,248,32,0.757
"5839",82,8635,12,0,"NEW JER",200,"SMITH  H.",0.088,-0.7597,-81.60199,293,36,0.745
"5840",82,4321,12,0,"NEW JER",200,"HENDRICKSON",0.135,-0.867,-88.32737,300,42,0.667
"5841",82,1678,66,0,"NEW MEX",100,"CHAVEZ",-0.0685,0.1943,-89.43584,221,40,0.836
"5842",82,165,66,0,"NEW MEX",100,"ANDERSON  C",-0.1469,0.1477,-33.41206,187,11,0.877
